entityname,amount,rowid,timestamp,othername,uid
,Plan Number: 002,1,2023-02-03 18:00:18.687714,,10001
"(b) Identity of Issuer, Borrower, Lessor or Similar Party ",(e) Current Value,2,2023-02-03 18:00:18.687714,,10001
Stable value collective trust:,,3,2023-02-03 18:00:18.687714,,10001
Fidelity Management Trust Company,1176653,4,2023-02-03 18:00:18.687714,,10001
Self-managed accounts:,,5,2023-02-03 18:00:18.687714,,10001
Fidelity Management Trust Company,6607,6,2023-02-03 18:00:18.687714,,10001
Registered investment companies:,,7,2023-02-03 18:00:18.687714,,10001
BNY Mellon,446953,8,2023-02-03 18:00:18.687714,,10001
BNY Mellon,3389610,9,2023-02-03 18:00:18.687714,,10001
T. Rowe Price,1497318,10,2023-02-03 18:00:18.687714,,10001
Columbia,580718,11,2023-02-03 18:00:18.687714,,10001
Invesco,68779,12,2023-02-03 18:00:18.687714,,10001
Invesco,143636,13,2023-02-03 18:00:18.687714,,10001
Putnam,300260,14,2023-02-03 18:00:18.687714,,10001
MassMutual,467607,15,2023-02-03 18:00:18.687714,,10001
Lord Abbett,177044,16,2023-02-03 18:00:18.687714,,10001
Invesco,97359,17,2023-02-03 18:00:18.687714,,10001
Artisan,236448,18,2023-02-03 18:00:18.687714,,10001
JPMorgan,732183,19,2023-02-03 18:00:18.687714,,10001
Federated,537595,20,2023-02-03 18:00:18.687714,,10001
Harbor,120049,21,2023-02-03 18:00:18.687714,,10001
Fidelity Management Trust Company,67918,22,2023-02-03 18:00:18.687714,,10001
Fidelity Management Trust Company,63481,23,2023-02-03 18:00:18.687714,,10001
Fidelity Management Trust Company,25072,24,2023-02-03 18:00:18.687714,,10001
Fidelity Management Trust Company,18695,25,2023-02-03 18:00:18.687714,,10001
Fidelity Management Trust Company,7400,26,2023-02-03 18:00:18.687714,,10001
Fidelity Management Trust Company,32312,27,2023-02-03 18:00:18.687714,,10001
Fidelity Management Trust Company,71102,28,2023-02-03 18:00:18.687714,,10001
Fidelity Management Trust Company,253725,29,2023-02-03 18:00:18.687714,,10001
Fidelity Management Trust Company,1524091,30,2023-02-03 18:00:18.687714,,10001
Fidelity Management Trust Company,896397,31,2023-02-03 18:00:18.687714,,10001
Fidelity Management Trust Company,565397,32,2023-02-03 18:00:18.687714,,10001
Fidelity Management Trust Company,871510,33,2023-02-03 18:00:18.687714,,10001
Fidelity Management Trust Company,449719,34,2023-02-03 18:00:18.687714,,10001
Fidelity Management Trust Company,66232,35,2023-02-03 18:00:18.687714,,10001
Fidelity Management Trust Company,39018,36,2023-02-03 18:00:18.687714,,10001
Fidelity Management Trust Company,296389,37,2023-02-03 18:00:18.687714,,10001
,14044017,38,2023-02-03 18:00:18.687714,,10001
,15227277,39,2023-02-03 18:00:18.687714,,10001
Notes receivable from participants,47832,40,2023-02-03 18:00:18.687714,,10001
